transaction_id,issue,action
TXN-D842E5303B41,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-8625CC1B31A8,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-E834FCF559B6,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY|IMPUTED_MERCHANT
TXN-48850E261810,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-782D0136D161,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-924AA3C4861B,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-321637D73F67,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-50B4AF322DF1,FUTURE_DATE:2028-05-20 20:52:02,REJECTED
TXN-6A45176F6954,FUTURE_DATE:2028-10-22 11:18:10,REJECTED
TXN-F439E244C447,INVALID_AMOUNT:9999999.99,REJECTED
TXN-405B3AE83733,INVALID_AMOUNT:-50.0,REJECTED
TXN-64498F9D1F85,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-0AB64EAA2525,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-9181C883039A,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-6F5FF49BCB63,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-981981E574D5,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-89333D014EDC,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-E99BD046937F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-A28534204A2B,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-5AF3C60D47C9,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-DD081A4ACCDE,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-CAFBAD514F34,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-6F5142219B4F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-1074C2F88F1D,INVALID_AMOUNT:-50.0,REJECTED
TXN-C9E600BB8E41,INVALID_AMOUNT:0.0,REJECTED
TXN-DC4AB3977134,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-A1391BB4E483,INVALID_AMOUNT:9999999.99,REJECTED
TXN-70AD612CF0B7,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-5495CFA67D33,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-93D648A3F133,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-F46B787D4406,FUTURE_DATE:2028-03-05 05:03:57,REJECTED
TXN-9D30B1130BD8,FUTURE_DATE:2028-07-30 17:56:26,REJECTED
TXN-E07B21417022,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-53052CDB5938,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-EEA22C1EC34C,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-83E5C5E0404B,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-82CE278265A5,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-0E1C5A04747C,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-558F1E2FB3B0,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-AC439E71EFD8,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-D86018000901,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-731E2FEDFD1F,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-04926A3EAAF7,FUTURE_DATE:2028-07-04 03:49:29,REJECTED
TXN-FB6600B195EE,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-53C56F45208D,FUTURE_DATE:2028-10-26 21:52:11,REJECTED
TXN-737553B3A19B,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-0F1FFC86DE25,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-CC7736FBAF37,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-8A441565FA83,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-F426819D6C34,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-73EDCFCD67BD,DUPLICATE,REJECTED
TXN-85E427E4A4C5,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-D385539E4C3C,FUTURE_DATE:2028-04-07 12:56:34,REJECTED
TXN-965A09360567,FUTURE_DATE:2028-10-15 18:31:21,REJECTED
TXN-0F4A6529B3AF,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-67342AC9C3EE,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-F368BC28B222,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-0B0360615051,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-E7FE7AE68FFF,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-88291FB5464F,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-A0326E6121AC,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-88640C65A669,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-B7A745FAA48A,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-55CACC7FFE6A,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-C8E9C30FAF4A,INVALID_AMOUNT:0.0,REJECTED
TXN-BB3ECCCE8AD6,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-A32A17428810,INVALID_AMOUNT:0.0,REJECTED
TXN-316B7FCF2302,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-71237E1D1725,FUTURE_DATE:2028-10-05 02:10:55,REJECTED
TXN-0D31440E9FB3,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-518081775E56,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-76556DB1BDEE,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-4E74067891AF,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-DDDF389FEA97,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-9C2B2314B165,FUTURE_DATE:2028-05-09 21:31:31,REJECTED
TXN-7170541A9D62,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-D94D5E9B239A,INVALID_AMOUNT:9999999.99,REJECTED
TXN-9BF3950564E4,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-68C8BB32C8F3,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-ECD6BD3794E2,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-87796C5665D3,INVALID_AMOUNT:0.0,REJECTED
TXN-CED3BCF4D235,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-CEE9DC150F36,INVALID_AMOUNT:0.0,REJECTED
TXN-469BD8A70828,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-B9930A7E8ED4,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-70EB14779E42,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-91A6E2E3D539,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY|IMPUTED_MERCHANT
TXN-E070660D606D,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY|IMPUTED_MERCHANT
TXN-A264297146FC,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-DEDD016DFBC9,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-FD38EA0C1F2F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-AAD6E86CA32F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-4D268545282C,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-090C1EDF0DA5,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-8B500CF45456,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-50F0AFAEB38C,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-9CE770DB6253,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-FB7C0740695C,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-8372F9E35F50,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-CD40AECB343F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-303A3533B9D5,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-C27BA612918A,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-06CBA946D114,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-BDA33403F6C7,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-790A7EF603EC,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-6604BC05BE9B,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-B5CA198F75F1,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-0E0C4A3189FD,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-73B283480C3F,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-8F78E92B5B32,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-7A8ED335F67D,FUTURE_DATE:2028-09-15 03:30:21,REJECTED
TXN-620273330BFA,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-053C5C059BDF,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-0A9308BDD415,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-E5BEA4C30511,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-C55EC9E3837E,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-37875639A21D,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-B625B7D20B70,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-F5053A25BADB,FUTURE_DATE:2028-09-06 06:27:42,REJECTED
TXN-34E5C9A2ACA5,INVALID_AMOUNT:-50.0,REJECTED
TXN-3060B2440E51,INVALID_AMOUNT:-50.0,REJECTED
TXN-8E278CFEBCD8,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-84FEA6992554,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-BFBCB535DC2F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-069259FE192E,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-1ADE727A2914,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-79537DCE62A9,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-001481F43386,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-CF5E28D0D553,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-243474FDB0B4,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-8753AD4CEAD7,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-D7E7CC5114D0,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-B716EEB661A2,DUPLICATE,REJECTED
TXN-9C9A12D08B70,INVALID_AMOUNT:0.0,REJECTED
TXN-14508640DB7C,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-51A4DF00B9BA,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-BFEBF54250BE,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-632B320FCBB4,INVALID_AMOUNT:-50.0,REJECTED
TXN-3EB6A99B74C2,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-1ED26D7A63E8,INVALID_AMOUNT:-50.0,REJECTED
TXN-77532A0E27D9,FUTURE_DATE:2028-12-23 22:33:32,REJECTED
TXN-057C8501E02E,FUTURE_DATE:2028-01-14 16:57:43,REJECTED
TXN-CD67D6A47808,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-322ACB9D1696,INVALID_AMOUNT:0.0,REJECTED
TXN-5A99EB50AEC1,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY|IMPUTED_MERCHANT
TXN-4517A2534BF7,INVALID_AMOUNT:-50.0,REJECTED
TXN-EDD233FFE1F1,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-200885CA70D5,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-C4A1F61D10E2,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-18957107E707,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-75D6130121C6,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-304748109783,INVALID_AMOUNT:9999999.99,REJECTED
TXN-1A9F1A89B324,INVALID_AMOUNT:9999999.99,REJECTED
TXN-9F044F08D84F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-B3F8B170D825,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-DFFB487EC47B,INVALID_AMOUNT:0.0,REJECTED
TXN-A82F39EA20A8,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-53D01D5F46D6,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-17186865781D,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-F35D2AF5D83A,INVALID_AMOUNT:0.0,REJECTED
TXN-D3F11FB672EA,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-1F765E363958,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-2E0601292E9E,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-4DB4F0D7CA36,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-493F0C7C3211,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-CAD9925AAFB0,FUTURE_DATE:2028-02-23 09:13:47,REJECTED
TXN-F7C1439CDD09,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-7CA2F1AE9BEB,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-A155DC81FFE7,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-50843DC92F45,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-FC334E1178D2,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-EC1D49DEB4B7,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-80F52CC76428,INVALID_AMOUNT:0.0,REJECTED
TXN-22BE41A9D723,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-1AEC1159C2E4,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-89459AEEA22A,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-F046538CBBE8,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-2A3EC766AABE,INVALID_AMOUNT:-50.0,REJECTED
TXN-01041C2C2675,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-11DB26051BB9,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-805731B32471,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-BF1989369E17,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-C0C11C280A0E,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-3A134F4E4042,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-EE99E8E3D6F6,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-74B55826F495,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-748EBED24727,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-ADC471C3072F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-2D49C4B005A6,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-8C59009391E0,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-01FD1BEAAAEC,FUTURE_DATE:2028-07-14 00:02:53,REJECTED
TXN-977610BBC4FB,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-325197A5FB69,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-0085414CE4F1,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-6D956A41FF48,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-1D4392196A5A,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-8AD89EF422FA,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-836615C2B97B,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-9F8F57FF4AF0,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-E6C3EB3C0B1E,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-9615703551EA,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-A70AF313474A,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-9BB902BBC560,INVALID_AMOUNT:-50.0,REJECTED
TXN-0EE5B6913F1D,FUTURE_DATE:2028-03-27 19:56:43,REJECTED
TXN-214569C38DFC,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-54C00DB6DA62,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-3B7B662C34F8,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-CD4C1B3FC8EB,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-EDFC4D606954,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-2191F223DF15,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-43C2F8D7B8F1,FUTURE_DATE:2028-10-29 19:01:22,REJECTED
TXN-E58911C432B4,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-5DCA5B3BEAF8,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-7B197C3CB5B1,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-C2826E1BD754,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-18CED2F274EF,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-9D6B20490778,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-9EAA7EB40960,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-2F6E5215E45C,INVALID_AMOUNT:-50.0,REJECTED
TXN-1C152858AD6A,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-5A7571A8A9C9,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-2DE6C4775DD9,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-6BE0713DF610,INVALID_AMOUNT:0.0,REJECTED
TXN-04E7F739D7EB,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-E695501B7447,DUPLICATE,REJECTED
TXN-BD145F8F4299,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-A83E1F744DC2,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-F3C01E983D40,DUPLICATE,REJECTED
TXN-4510D6977348,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-9D1387A142A0,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-80A50B48C871,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-7DC141B3D58A,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-01B6496C227E,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-990A754D5312,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-20DA1A04994B,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-4DDA92F9FCAF,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-791D1713C499,INVALID_AMOUNT:9999999.99,REJECTED
TXN-00B8444CD4A4,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-6217EBE6F055,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-83F6BFB07463,DUPLICATE,REJECTED
TXN-5E76D2C709F8,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-FC431C2A5F24,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-E2A5C4628812,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-05ADA83AF69D,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-1DEE0C02CF0F,INVALID_AMOUNT:-50.0,REJECTED
TXN-846CE71252F8,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-B00DF1F1A357,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-6F4A417E2B4D,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-3A69FA174C78,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-AE0C2B170D1B,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-A2C9DBAB0183,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-54ADFB1B47E1,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-5CB7E656FD7D,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-A11BF757BC1D,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-D22DE06C7996,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-BD78BF221A20,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-ADFDCF9AFAA1,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-341DD476C04D,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-C5B937564D19,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-6E9A13399BD9,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-3208B52E855E,FUTURE_DATE:2028-11-29 19:55:47,REJECTED
TXN-CA54FE504568,FUTURE_DATE:2028-06-28 00:18:31,REJECTED
TXN-0CF3400172D1,DUPLICATE,REJECTED
TXN-C18AEABBC25B,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-0D233D1EF49F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-1A7933F66486,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-684741782E89,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-B71BDF1A8F92,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-A024A0C07F66,DUPLICATE,REJECTED
TXN-AB8214A3E22E,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-630D77006715,INVALID_AMOUNT:0.0,REJECTED
TXN-0FA5175ED2DA,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-96A8F494EA80,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-7B85682B20AF,FUTURE_DATE:2028-08-30 17:28:22,REJECTED
TXN-EE08FCDCFBE2,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-5254CBCB68FA,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-14B211B362DA,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-0E4D23A9C589,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-F82A225FA57E,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-13CF8C60B82A,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-81DBF44DC5E4,FUTURE_DATE:2028-04-06 23:01:09,REJECTED
TXN-043317BCFEA3,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-9A691222B323,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-FBD72C9998C3,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-D2B8058F8AD7,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-B5CF93E4C966,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-39086F4D1022,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-F04187ACFE4F,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-9B91C1A02638,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-F66D86BF134F,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-C272D3AC7760,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-A236D4415FC2,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-E22125E4A7BF,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-8CFAABA2B808,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-CF3296795A79,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-EDB85BB3AC08,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-7333E016FA87,FUTURE_DATE:2028-04-29 01:55:18,REJECTED
TXN-0D1126748207,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-F0C5DE10BAF5,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-64392B4B2C5F,FUTURE_DATE:2028-12-13 04:20:05,REJECTED
TXN-D7EC4F42CC3E,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-EE917C01EBD6,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-5DDC6AEACC74,FUTURE_DATE:2028-02-07 10:59:28,REJECTED
